"mixture","vocals","accompaniment"
"DSD100/074 - Juliet's Rescue - Heartbeats/mixture.wav","DSD100/074 - Juliet's Rescue - Heartbeats/vocals.wav","DSD100/074 - Juliet's Rescue - Heartbeats/accompaniment.wav"
"DSD100/075 - Leaf - Summerghost/mixture.wav","DSD100/075 - Leaf - Summerghost/vocals.wav","DSD100/075 - Leaf - Summerghost/accompaniment.wav"
"DSD100/076 - Little Chicago's Finest - My Own/mixture.wav","DSD100/076 - Little Chicago's Finest - My Own/vocals.wav","DSD100/076 - Little Chicago's Finest - My Own/accompaniment.wav"
"DSD100/077 - Lyndsey Ollard - Catching Up/mixture.wav","DSD100/077 - Lyndsey Ollard - Catching Up/vocals.wav","DSD100/077 - Lyndsey Ollard - Catching Up/accompaniment.wav"
"DSD100/078 - Moosmusic - Big Dummy Shake/mixture.wav","DSD100/078 - Moosmusic - Big Dummy Shake/vocals.wav","DSD100/078 - Moosmusic - Big Dummy Shake/accompaniment.wav"
"DSD100/079 - Mu - Too Bright/mixture.wav","DSD100/079 - Mu - Too Bright/vocals.wav","DSD100/079 - Mu - Too Bright/accompaniment.wav"
"DSD100/080 - North To Alaska - All The Same/mixture.wav","DSD100/080 - North To Alaska - All The Same/vocals.wav","DSD100/080 - North To Alaska - All The Same/accompaniment.wav"
"DSD100/081 - Patrick Talbot - Set Me Free/mixture.wav","DSD100/081 - Patrick Talbot - Set Me Free/vocals.wav","DSD100/081 - Patrick Talbot - Set Me Free/accompaniment.wav"
"DSD100/082 - Punkdisco - Oral Hygiene/mixture.wav","DSD100/082 - Punkdisco - Oral Hygiene/vocals.wav","DSD100/082 - Punkdisco - Oral Hygiene/accompaniment.wav"
"DSD100/083 - Remember December - C U Next Time/mixture.wav","DSD100/083 - Remember December - C U Next Time/vocals.wav","DSD100/083 - Remember December - C U Next Time/accompaniment.wav"
"DSD100/084 - Secretariat - Borderline/mixture.wav","DSD100/084 - Secretariat - Borderline/vocals.wav","DSD100/084 - Secretariat - Borderline/accompaniment.wav"
"DSD100/085 - Side Effects Project - Sing With Me/mixture.wav","DSD100/085 - Side Effects Project - Sing With Me/vocals.wav","DSD100/085 - Side Effects Project - Sing With Me/accompaniment.wav"
"DSD100/086 - Skelpolu - Human Mistakes/mixture.wav","DSD100/086 - Skelpolu - Human Mistakes/vocals.wav","DSD100/086 - Skelpolu - Human Mistakes/accompaniment.wav"
"DSD100/087 - Skelpolu - Together Alone/mixture.wav","DSD100/087 - Skelpolu - Together Alone/vocals.wav","DSD100/087 - Skelpolu - Together Alone/accompaniment.wav"
"DSD100/088 - Speak Softly - Like Horses/mixture.wav","DSD100/088 - Speak Softly - Like Horses/vocals.wav","DSD100/088 - Speak Softly - Like Horses/accompaniment.wav"
"DSD100/089 - St Vitus - Word Gets Around/mixture.wav","DSD100/089 - St Vitus - Word Gets Around/vocals.wav","DSD100/089 - St Vitus - Word Gets Around/accompaniment.wav"
"DSD100/090 - The Doppler Shift - Atrophy/mixture.wav","DSD100/090 - The Doppler Shift - Atrophy/vocals.wav","DSD100/090 - The Doppler Shift - Atrophy/accompaniment.wav"
"DSD100/091 - The Long Wait - Dark Horses/mixture.wav","DSD100/091 - The Long Wait - Dark Horses/vocals.wav","DSD100/091 - The Long Wait - Dark Horses/accompaniment.wav"
"DSD100/092 - The Sunshine Garcia Band - For I Am The Moon/mixture.wav","DSD100/092 - The Sunshine Garcia Band - For I Am The Moon/vocals.wav","DSD100/092 - The Sunshine Garcia Band - For I Am The Moon/accompaniment.wav"
"DSD100/093 - Tim Taler - Stalker/mixture.wav","DSD100/093 - Tim Taler - Stalker/vocals.wav","DSD100/093 - Tim Taler - Stalker/accompaniment.wav"
"DSD100/094 - Titanium - Haunted Age/mixture.wav","DSD100/094 - Titanium - Haunted Age/vocals.wav","DSD100/094 - Titanium - Haunted Age/accompaniment.wav"
"DSD100/095 - Traffic Experiment - Once More (With Feeling)/mixture.wav","DSD100/095 - Traffic Experiment - Once More (With Feeling)/vocals.wav","DSD100/095 - Traffic Experiment - Once More (With Feeling)/accompaniment.wav"
"DSD100/096 - Triviul - Angelsaint/mixture.wav","DSD100/096 - Triviul - Angelsaint/vocals.wav","DSD100/096 - Triviul - Angelsaint/accompaniment.wav"
"DSD100/097 - Triviul feat. The Fiend - Widow/mixture.wav","DSD100/097 - Triviul feat. The Fiend - Widow/vocals.wav","DSD100/097 - Triviul feat. The Fiend - Widow/accompaniment.wav"
"DSD100/098 - Wall Of Death - Femme/mixture.wav","DSD100/098 - Wall Of Death - Femme/vocals.wav","DSD100/098 - Wall Of Death - Femme/accompaniment.wav"
"DSD100/099 - Young Griffo - Blood To Bone/mixture.wav","DSD100/099 - Young Griffo - Blood To Bone/vocals.wav","DSD100/099 - Young Griffo - Blood To Bone/accompaniment.wav"
"DSD100/100 - Young Griffo - Pennies/mixture.wav","DSD100/100 - Young Griffo - Pennies/vocals.wav","DSD100/100 - Young Griffo - Pennies/accompaniment.wav"
